Player,Site,Hands,VPIP,PFR,CC,Limp nSB,3Bet nAI,F3Bet,WTSD no AI%,WWSF no AI,WS HU,LS HU,WN HU,LN HU,Bet R HU,Fold to R Bet HU,All-In Adj BB/100,EV -60bb,NonSD,BB Won,Cluster
arnekk,888 Poker,9156,27.78,17.5,17.06,0.18,3.05,40.76,29.2,39.3,16.5,14.33,30.63,38.54,25.07,56.5,14.77,13.2,-19.99,1067.88,7
Atiperla,888 Poker,9154,31.86,7.28,18.21,23.7,1.18,17.65,32.61,33.19,17.54,17.76,23.9,40.79,55.69,43.62,-13.51,-7.23,-16.25,-2143.59,15
tutunoia,888 Poker,9143,23.31,18.01,4.7,0.02,6.5,56.73,25.44,52.03,13.85,12.47,46.81,26.87,42.29,44.78,12.68,11.62,1.54,1206.62,0
rugduster19,888 Poker,9134,51.72,12.81,35.92,36.68,1.6,4.76,24.44,27.88,14.2,11.92,23.41,50.46,30.3,60.56,-21.64,-17.11,-42.18,-3821.33,12
LexDT,888 Poker,9128,29.47,20.95,8.75,0.3,6.11,49.78,25.94,44.68,13.11,13.42,39.11,34.37,46.56,54.82,9.04,14.33,0.21,541.96,5
Putifire,888 Poker,9125,29.83,20.22,9.35,0.13,4.87,51.7,27.29,46.51,13.23,14.69,39.88,32.2,43.73,49.39,11.42,17.9,-1.28,1041.82,0
brat4erenka,888 Poker,9124,31.27,21.9,7.67,0.0,7.53,60.0,24.72,47.31,13.75,11.93,38.75,35.56,42.83,61.96,2.06,8.8,-12.49,286.79,8
Cearly14,888 Poker,9123,37.59,13.76,25.49,20.72,2.79,32.58,29.27,38.51,14.86,14.55,34.67,35.91,36.67,53.33,-18.3,-15.84,-9.87,-1502.99,13
DrynPahuchii,888 Poker,9122,27.22,19.83,7.2,0.18,7.09,58.33,23.44,45.57,14.25,10.64,40.68,34.43,47.93,44.08,12.29,-1.14,-8.14,578.39,8
stcyrus82,888 Poker,9115,35.12,1.6,28.93,40.05,0.25,31.82,29.65,37.33,12.78,15.67,33.09,38.45,78.81,37.21,-41.22,-34.77,14.11,-5496.04,12
robbie6108,888 Poker,9113,40.25,13.08,25.26,23.55,1.94,18.75,30.42,33.76,15.72,18.85,24.22,41.21,32.14,55.19,-40.12,-25.65,-13.65,-3466.81,15
pedro13lucas,888 Poker,9094,23.96,16.44,7.55,1.5,6.85,48.13,26.17,44.0,15.13,10.54,34.87,39.46,36.04,63.58,5.92,1.95,-15.71,259.37,10
Kaies_mtg,888 Poker,9092,23.44,16.22,5.51,0.03,4.78,46.7,29.45,41.17,19.05,11.19,31.43,38.33,23.13,50.35,11.81,13.92,-16.56,833.55,7
gyurj,888 Poker,9087,28.53,20.56,9.01,0.18,8.03,55.97,27.1,47.84,14.46,13.47,40.69,31.39,49.26,58.95,6.79,13.58,-3.81,826.58,8
Davizin,888 Poker,9086,18.6,12.76,8.03,0.05,2.3,47.27,32.07,39.81,19.97,13.36,25.81,40.86,27.27,63.3,4.59,6.54,-19.24,-30.72,1
Rybka12,888 Poker,9085,30.75,22.52,6.12,1.5,8.9,53.05,24.1,46.87,10.94,13.7,42.62,32.74,42.08,58.64,2.58,8.95,-9.1,-123.76,8
MrFarQueue,888 Poker,9083,21.79,7.98,14.04,7.07,1.85,28.13,24.89,32.02,16.67,9.65,27.54,46.14,35.84,56.25,4.39,-0.66,-21.67,891.82,17
